scenario,region,variables,unit,2020,2030,2050
S2,FR,Production|Electricity|Renewable|Biogas|CHP,TWh/year,2.02875941141346,1.78090348758121,2.33035759976893
S2,FR,Production|Electricity|Renewable|Biomass|CHP,TWh/year,1.36712583240364,1.46823067443173,1.9212172553061
S2,FR,Production|Electricity|Conventional|Waste,TWh/year,2.68009498253595,2.35266462577827,3.07852162041426
S2,FR,Production|Electricity|Renewable|Geothermal,TWh/year,0.00400622187357709,0.0456230534211352,0.0596989281036252
S2,FR,Production|Electricity|Hydro|Reservoir,TWh/year,8.66422894979155,7.60570987772514,9.95226530070984
S2,FR,Production|Electricity|Hydro|Run of river,TWh/year,45.4872019864057,39.929976858057,52.2493928287267
S2,FR,Production|Electricity|Hydro Total,TWh/year,54.1514309361972,47.5356867357821,62.2016581294365
S2,FR,Production|Electricity|Total primary electricity without flexibility,TWh/year,550.077797438086,580.097141509915,523.203752142143
S2,FR,Consumption|Electricity|Exports,TWh/year,98.6807074758142,154.617057496361,126.220989613692
S2,FR,Production|Electricity|Imports,TWh/year,17.5083546064292,34.5200628743702,123.157630114542
S2,FR,Balance|Electricity|Export-import balance,TWh/year,81.172352869385,120.096994621991,3.06335949915
S2,FR,Production|Electricity|Storage|Hydro|Pumped storage,TWh/year,3.06510053147424,5.76379523325679,6.65110980722014
S2,FR,Production|Electricity|Storage|Battery,TWh/year,1.77837753505976E-06,0.0000041787782991899,0.0258754811441732
S2,FR,Production|Electricity|Low to medium,TWh,1,1,1
S2,FR,Production|Electricity|Medium to high,TWh,1,1,1
S2,FR,Efficiency|Storage|Battery|Charge,%,85,90,90
S2,FR,Efficiency|Storage|Hydro|Pumped storage,%,70,75,80
S3 Renew,FR,Production|Electricity|Nuclear,TWh/year,348.55332487756,284.530070518829,68.8092062247277
S3 Renew,FR,Production|Electricity|Conventional|Mix gas|Combined Cycle Turbines,TWh/year,1.21239891502647,11.514383845099,18.8778280583879
S3 Renew,FR,Production|Electricity|Conventional|Mix gas|Open Cycle Turbines,TWh/year,0.0022298676660968,0.00310735796662802,3.56775303335297E-06
S3 Renew,FR,Production|Electricity|Conventional|Mix gas|Cycle Turbines total,TWh/year,1.21462878269256,11.5174912030656,18.8778316261409
S3 Renew,FR,Production|Electricity|Conventional|Coal,TWh/year,7.29735215860442,0,0
S3 Renew,FR,Production|Electricity|Conventional|Fuel oil and Mix gas|CHP,TWh/year,10.6904825234273,3.30913452449123,0
S3 Renew,FR,Production|Electricity|Conventional|Fuel oil|CHP,TWh/year,1.96060001387892,0,0
S3 Renew,FR,Production|Electricity|Conventional|Mix gas|CHP,TWh/year,8.72988250954833,3.30913452449123,0
S3 Renew,FR,Production|Electricity|Renewable|Photovoltaic ground fix,TWh/year,5.09069131994248,28.3999930072113,100.998871803486
S3 Renew,FR,Production|Electricity|Renewable|Photovoltaic ground tracker,TWh/year,0,1.77240467491646E-10,2.57378839284101E-09
S3 Renew,FR,Production|Electricity|Renewable|Photovoltaic ground total,TWh/year,5.09069131994248,28.3999930073886,100.99887180606
S3 Renew,FR,Production|Electricity|Renewable|Photovoltaic roof large,TWh/year,4.52740012736271,10.0319250109214,46.190668816255
